ปีบัญชี	Month	องค์ประกอบ WBS	ใบสั่ง	OpAc	รก.	Cost Categ	วัสดุ	คำอธิบายวัสดุ	กลุ่มวัสดุ	สปก.ต้นทุน	Cost Element Group	SourceFund	สง.	WBS Plan Qty.	WBS Plan Price	Purch.Req.	รก.	PR Qty	PR Unit	PR Price/Unit	ผู้ขาย	เอกสารซื้อ	รก.	PO Qty	PO Unit	PO Price/Unit	PO Curr.	Contract No	BID No	Contract Date	Contr. Status	GR/IR Doc	GR/IR Date	GR/IR Qty	GR/IR Unit	GR/IR Amount	GR/IR Curr	Pmt.Doc	Pmt.Date	Pmt.Curr	Last Year (Curr)	Last Year	YLM (Curr)	YLM	This month (Curr)	This month	เงินล่วงหน้าคงเหลือ	โครงการที่เหมาะสม	Region	Budget cat	Update date	Update by
2022	10	Y-58-Z-05-MA	 	 	 	1	1-04-001-0000	DROPOUT,FUSE,22 KV.100 A.8 KA.	104001	12101050	ZBD_PMATRL	LOCL	THB	0.000	0.00	1100837310	00001	1850.000	EA	1301.00	200011	3001174445	00001	1850.000	EA	1270.00	THB	ปก.ด.058/59	วิเชียร  เอกอานนท์	2016-08-04	B	5200142254	2016-12-29	400.000	EA	508000.00	THB	2501523860	2016-12-30	THB	508000.00	508000.00	0.00	0.00	0.00	0.00	0.00	Y-58	 	 	2022-10-11	HOBDEXX03
2022	10	Y-58-Z-05-MA	 	 	 	1	1-04-001-0000	DROPOUT,FUSE,22 KV.100 A.8 KA.	104001	12101050	ZBD_PMATRL	LOCL	THB	0.000	0.00	1100837310	00002	3700.000	EA	1301.00	200011	3001174445	00002	3700.000	EA	1270.00	THB	ปก.ด.058/59	วิเชียร  เอกอานนท์	2016-08-04	B	5200142254	2016-12-29	400.000	EA	508000.00	THB	2501523860	2016-12-30	THB	508000.00	508000.00	0.00	0.00	0.00	0.00	0.00	Y-58	 	 	2022-10-11	HOBDEXX03
2022	10	Y-58-Z-05-MA	 	 	 	1	1-04-001-0000	DROPOUT,FUSE,22 KV.100 A.8 KA.	104001	12101050	ZBD_PMATRL	LOCL	THB	0.000	0.00	1100837310	00003	4450.000	EA	1301.00	200011	3001174445	00003	4450.000	EA	1270.00	THB	ปก.ด.058/59	วิเชียร  เอกอานนท์	2016-08-04	B	5200142254	2016-12-29	200.000	EA	254000.00	THB	2501523860	2016-12-30	THB	254000.00	254000.00	0.00	0.00	0.00	0.00	0.00	Y-58	 	 	2022-10-11	HOBDEXX03
2022	10	Y-58-Z-05-MA	 	 	 	1	1-04-001-0100	DROPOUT,FUSE, 33 KV. 100 A.	104001	12101050	ZBD_PMATRL	LOCL	THB	0.000	0.00	1100837310	00004	1500.000	EA	1853.00	200011	3001174445	00007	1500.000	EA	1800.00	THB	ปก.ด.058/59	วิเชียร  เอกอานนท์	2016-08-04	B	5200024763	2017-03-14	1500.000	EA	2700000.00	THB	2500352440	2017-03-22	THB	2700000.00	2700000.00	0.00	0.00	0.00	0.00	0.00	Y-58	 	 	2022-10-11	HOBDEXX03
2022	10	Y-58-Z-05-MA	 	 	 	1	1-04-000-0000	S.A.,21 KV. 5 KA.	104000	12101050	ZBD_PMATRL	LOCL	THB	0.000	0.00	1100837326	00001	500.000	EA	2314.00	200011	3001127856	00001	500.000	EA	2145.00	THB	ปก.ล.036/59	วิเชียร  เอกอานนท์	2016-03-30	B	5200108666	2016-10-20	500.000	EA	1072500.00	THB	2501256822	2016-10-31	THB	1072500.00	1072500.00	0.00	0.00	0.00	0.00	0.00	Y-58	 	 	2022-10-11	HOBDEXX03
2022	10	Y-58-Z-05-MA	 	 	 	1	1-04-000-0000	S.A.,21 KV. 5 KA.	104000	12101050	ZBD_PMATRL	LOCL	THB	0.000	0.00	1100837326	00002	1600.000	EA	2314.00	200011	3001127856	00002	1600.000	EA	2145.00	THB	ปก.ล.036/59	วิเชียร  เอกอานนท์	2016-03-30	B	5200108666	2016-10-20	1100.000	EA	2359500.00	THB	2501256822	2016-10-31	THB	2359500.00	2359500.00	0.00	0.00	0.00	0.00	0.00	Y-58	 	 	2022-10-11	HOBDEXX03
2022	10	Y-58-Z-05-MA	 	 	 	1	1-04-000-0000	S.A.,21 KV. 5 KA.	104000	12101050	ZBD_PMATRL	LOCL	THB	0.000	0.00	1100837326	00003	3400.000	EA	2314.00	200011	3001127856	00003	3400.000	EA	2145.00	THB	ปก.ล.036/59	วิเชียร  เอกอานนท์	2016-03-30	B	5200108666	2016-10-20	1400.000	EA	3003000.00	THB	2501256822	2016-10-31	THB	3003000.00	3003000.00	0.00	0.00	0.00	0.00	0.00	Y-58	 	 	2022-10-11	HOBDEXX03
2022	10	Y-58-Z-05-MA	 	 	 	1	1-04-000-0007	S.A., 21 KV.5 KA.,WITHOUT BRACKET	104000	12101050	ZBD_PMATRL	LOCL	THB	0.000	0.00	1100837326	00004	1700.000	EA	2271.00	200031	3001127958	00001	1700.000	EA	2135.00	THB	ปก.ล.037/59	คุณสมเอี่ยมฯ	2016-03-30	B	5200127304	2016-12-06	600.000	EA	1281000.00	THB	2501432624	2016-12-13	THB	1281000.00	1281000.00	0.00	0.00	0.00	0.00	0.00	Y-58	 	 	2022-10-11	HOBDEXX03
2022	10	Y-58-Z-05-MA	 	 	 	1	1-04-000-0007	S.A., 21 KV.5 KA.,WITHOUT BRACKET	104000	12101050	ZBD_PMATRL	LOCL	THB	0.000	0.00	1100837326	00005	3000.000	EA	2271.00	200031	3001127958	00002	3000.000	EA	2135.00	THB	ปก.ล.037/59	คุณสมเอี่ยมฯ	2016-03-30	B	5200127304	2016-12-06	800.000	EA	1708000.00	THB	2501432624	2016-12-13	THB	1708000.00	1708000.00	0.00	0.00	0.00	0.00	0.00	Y-58	 	 	2022-10-11	HOBDEXX03
2022	10	Y-58-Z-05-MA	 	 	 	1	1-04-000-0007	S.A., 21 KV.5 KA.,WITHOUT BRACKET	104000	12101050	ZBD_PMATRL	LOCL	THB	0.000	0.00	1100837326	00006	2900.000	EA	2271.00	200031	3001127958	00003	2900.000	EA	2135.00	THB	ปก.ล.037/59	คุณสมเอี่ยมฯ	2016-03-30	B	5200127304	2016-12-06	1600.000	EA	3416000.00	THB	2501432624	2016-12-13	THB	3416000.00	3416000.00	0.00	0.00	0.00	0.00	0.00	Y-58	 	 	2022-10-11	HOBDEXX03
2022	10	Y-58-Z-05-MA	 	 	 	1	1-04-000-0100	S.A. 30 KV. 5 KA.	104000	12101050	ZBD_PMATRL	LOCL	THB	0.000	0.00	1100837326	00007	1500.000	EA	3213.00	200011	3001127856	00004	1500.000	EA	3118.00	THB	ปก.ล.036/59	วิเชียร  เอกอานนท์	2016-03-30	B	5200108666	2016-10-20	1500.000	EA	4677000.00	THB	2501256822	2016-10-31	THB	4677000.00	4677000.00	0.00	0.00	0.00	0.00	0.00	Y-58	 	 	2022-10-11	HOBDEXX03
2022	10	Y-58-Z-05-MA	 	 	 	1	1-04-000-0106	S.A., 30 kV.5kA.,WITHOUT BRACKET	104000	12101050	ZBD_PMATRL	LOCL	THB	0.000	0.00	1100837326	00008	900.000	EA	3169.00	217645	3001127998	00001	900.000	EA	3076.00	THB	ปก.ล.038/59	นายโทนี่  กัม	2016-03-30	B	5200123348	2016-11-25	900.000	EA	2768400.00	THB	2501388443	2016-11-30	THB	2768400.00	2768400.00	0.00	0.00	0.00	0.00	0.00	Y-58	 	 	2022-10-11	HOBDEXX03
2022	10	Y-58-Z-05-MA	 	 	 	1	1-04-000-0300	S.A. 250-500 V. 2.5-5.0 KA	104000	12101050	ZBD_PMATRL	LOCL	THB	0.000	0.00	1100837326	00009	4000.000	EA	393.00	200011	3001110610	00001	4000.000	EA	380.00	THB	ปก.ล.018/59	วิเชียร  เอกอานนท์	2016-02-01	B	5200080931	2016-08-17	4000.000	EA	1520000.00	THB	2700005600	2016-10-28	THB	1520000.00	1520000.00	0.00	0.00	0.00	0.00	0.00	Y-58	 	 	2022-10-11	HOBDEXX03
2022	10	Y-58-Z-05-MA	 	 	 	1	1-04-000-0300	S.A. 250-500 V. 2.5-5.0 KA	104000	12101050	ZBD_PMATRL	LOCL	THB	0.000	0.00	1100837326	00010	15500.000	EA	393.00	200011	3001110610	00002	15500.000	EA	380.00	THB	ปก.ล.018/59	วิเชียร  เอกอานนท์	2016-02-01	B	5200080931	2016-08-17	6000.000	EA	2280000.00	THB	2700005600	2016-10-28	THB	2280000.00	2280000.00	0.00	0.00	0.00	0.00	0.00	Y-58	 	 	2022-10-11	HOBDEXX03
2022	10	Y-58-Z-05-MA	 	 	 	1	1-04-000-0300	S.A. 250-500 V. 2.5-5.0 KA	104000	12101050	ZBD_PMATRL	LOCL	THB	0.000	0.00	1100837326	00011	9730.000	EA	393.00	200011	3001110610	00003	9730.000	EA	380.00	THB	ปก.ล.018/59	วิเชียร  เอกอานนท์	2016-02-01	B	5200080934	2016-08-17	500.000	EA	190000.00	THB	2700005600	2016-10-28	THB	190000.00	190000.00	0.00	0.00	0.00	0.00	0.00	Y-58	 	 	2022-10-11	HOBDEXX03
2022	10	Y-58-Z-05-MA	 	 	 	1	1-04-000-0300	S.A. 250-500 V. 2.5-5.0 KA	104000	12101050	ZBD_PMATRL	LOCL	THB	0.000	0.00	1100837326	00012	4550.000	EA	393.00	200011	3001110610	00004	4550.000	EA	380.00	THB	ปก.ล.018/59	วิเชียร  เอกอานนท์	2016-02-01	B	5200080939	2016-08-17	4550.000	EA	1729000.00	THB	2700005600	2016-10-28	THB	1729000.00	1729000.00	0.00	0.00	0.00	0.00	0.00	Y-58	 	 	2022-10-11	HOBDEXX03
2022	10	Y-58-Z-05-MA	 	 	 	1	1-04-008-0004	RECLOSER 22KV630A12KA(SOLID)WITH HANGER	104008	12101050	ZBD_PMATRL	LOCL	THB	0.000	0.00	1100837376	00001	12.000	EA	211182.00	201535	3001796393	00286	12.000	EA	100000.00	THB	สต.096/2563	 	2020-12-14	B	5200151855	2021-09-16	6.000	EA	600000.00	THB	2750008219	2021-09-29	THB	600000.00	600000.00	0.00	0.00	0.00	0.00	0.00	Y-58	 	 	2022-10-11	HOBDEXX03
2022	10	Y-58-Z-05-MA	 	 	 	1	1-04-008-0302	CONTROL UNIT,AUTO,FOR RECLOSER (E)	104008	12101050	ZBD_PMATRL	LOCL	THB	0.000	0.00	1100837376	00003	12.000	EA	197376.00	201535	3001796393	00288	12.000	EA	91000.00	THB	สต.096/2563	 	2020-12-14	B	5200151855	2021-09-16	6.000	EA	546000.00	THB	2750008219	2021-09-29	THB	546000.00	546000.00	0.00	0.00	0.00	0.00	0.00	Y-58	 	 	2022-10-11	HOBDEXX03
2022	10	Y-58-Z-05-MA	 	 	 	1	1-04-008-0004	RECLOSER 22KV630A12KA(SOLID)WITH HANGER	104008	12101050	ZBD_PMATRL	LOCL	THB	0.000	0.00	1100837376	00005	7.000	EA	211182.00	201535	3001796393	00290	7.000	EA	100000.00	THB	สต.096/2563	 	2020-12-14	B	5200151855	2021-09-16	7.000	EA	700000.00	THB	2750008219	2021-09-29	THB	700000.00	700000.00	0.00	0.00	0.00	0.00	0.00	Y-58	 	 	2022-10-11	HOBDEXX03
2022	10	Y-58-Z-05-MA	 	 	 	1	1-04-008-0302	CONTROL UNIT,AUTO,FOR RECLOSER (E)	104008	12101050	ZBD_PMATRL	LOCL	THB	0.000	0.00	1100837376	00007	7.000	EA	197376.00	201535	3001796393	00292	7.000	EA	91000.00	THB	สต.096/2563	 	2020-12-14	B	5200151855	2021-09-16	7.000	EA	637000.00	THB	2750008219	2021-09-29	THB	637000.00	637000.00	0.00	0.00	0.00	0.00	0.00	Y-58	 	 	2022-10-11	HOBDEXX03
2022	10	Y-58-Z-05-MA	 	 	 	1	1-04-008-0004	RECLOSER 22KV630A12KA(SOLID)WITH HANGER	104008	12101050	ZBD_PMATRL	LOCL	THB	0.000	0.00	1100837376	00009	5.000	EA	211182.00	201535	3001796393	00294	5.000	EA	100000.00	THB	สต.096/2563	 	2020-12-14	B	5200151855	2021-09-16	5.000	EA	500000.00	THB	2750008219	2021-09-29	THB	500000.00	500000.00	0.00	0.00	0.00	0.00	0.00	Y-58	 	 	2022-10-11	HOBDEXX03
2022	10	Y-58-Z-05-MA	 	 	 	1	1-04-008-0302	CONTROL UNIT,AUTO,FOR RECLOSER (E)	104008	12101050	ZBD_PMATRL	LOCL	THB	0.000	0.00	1100837376	00011	5.000	EA	197376.00	201535	3001796393	00296	5.000	EA	91000.00	THB	สต.096/2563	 	2020-12-14	B	5200151855	2021-09-16	5.000	EA	455000.00	THB	2750008219	2021-09-29	THB	455000.00	455000.00	0.00	0.00	0.00	0.00	0.00	Y-58	 	 	2022-10-11	HOBDEXX03
2022	10	Y-58-Z-05-MA	 	 	 	1	1-04-008-0103	RECLOSER 33KV630A12KA(SOLID)WITH HANGER	104008	12101050	ZBD_PMATRL	LOCL	THB	0.000	0.00	1100837376	00014	13.000	PAK	478256.00	201535	3001708739	00001	13.000	PAK	188500.00	THB	สต.030/2563	 	2020-05-05	B	5200191875	2020-12-29	13.000	PAK	2450500.00	THB	2750000035	2020-12-30	THB	2450500.00	2450500.00	0.00	0.00	0.00	0.00	0.00	Y-58	 	 	2022-10-11	HOBDEXX03
2022	10	Y-58-Z-05-MA	 	 	 	1	1-04-008-0302	CONTROL UNIT,AUTO,FOR RECLOSER (E)	104008	12101050	ZBD_PMATRL	LOCL	THB	0.000	0.00	1100837376	00016	13.000	EA	197376.00	201535	3001708739	00002	13.000	EA	105000.00	THB	สต.030/2563	 	2020-05-05	B	5200191875	2020-12-29	13.000	EA	1365000.00	THB	2750000035	2020-12-30	THB	1365000.00	1365000.00	0.00	0.00	0.00	0.00	0.00	Y-58	 	 	2022-10-11	HOBDEXX03
2022	10	Y-58-Z-05-MA	 	 	 	1	1-04-007-3015	VT.1P.O/D 22,000/230 V.REC.500 VA.	104007	12101050	ZBD_PMATRL	LOCL	THB	0.000	0.00	1100837376	00018	12.000	EA	20234.00	201535	3001796393	00302	12.000	EA	10000.00	THB	สต.096/2563	 	2020-12-14	B	5200151855	2021-09-16	6.000	EA	60000.00	THB	2750008219	2021-09-29	THB	60000.00	60000.00	0.00	0.00	0.00	0.00	0.00	Y-58	 	 	2022-10-11	HOBDEXX03
2022	10	Y-58-Z-05-MA	 	 	 	1	1-04-007-3015	VT.1P.O/D 22,000/230 V.REC.500 VA.	104007	12101050	ZBD_PMATRL	LOCL	THB	0.000	0.00	1100837376	00019	7.000	EA	20234.00	201535	3001796393	00303	7.000	EA	10000.00	THB	สต.096/2563	 	2020-12-14	B	5200151855	2021-09-16	7.000	EA	70000.00	THB	2750008219	2021-09-29	THB	70000.00	70000.00	0.00	0.00	0.00	0.00	0.00	Y-58	 	 	2022-10-11	HOBDEXX03
2022	10	Y-58-Z-05-MA	 	 	 	1	1-04-007-3015	VT.1P.O/D 22,000/230 V.REC.500 VA.	104007	12101050	ZBD_PMATRL	LOCL	THB	0.000	0.00	1100837376	00020	5.000	EA	20234.00	201535	3001796393	00304	5.000	EA	10000.00	THB	สต.096/2563	 	2020-12-14	B	5200151855	2021-09-16	5.000	EA	50000.00	THB	2750008219	2021-09-29	THB	50000.00	50000.00	0.00	0.00	0.00	0.00	0.00	Y-58	 	 	2022-10-11	HOBDEXX03
2022	10	Y-58-Z-05-MA	 	 	 	1	1-04-007-3016	VT.1P.O/D 33,000/230 V.REC.500 VA.	104007	12101050	ZBD_PMATRL	LOCL	THB	0.000	0.00	1100837376	00021	13.000	EA	73266.00	201535	3001708739	00003	13.000	EA	20000.00	THB	สต.030/2563	 	2020-05-05	A	5200191875	2020-12-29	13.000	EA	260000.00	THB	2750000035	2020-12-30	THB	260000.00	260000.00	0.00	0.00	0.00	0.00	0.00	Y-58	 	 	2022-10-11	HOBDEXX03
2022	10	Y-58-Z-05-MA	 	 	 	1	1-04-005-0000	D.SW.,1 POLE 22 KV. 600 A.DIST.	104005	12101050	ZBD_PMATRL	LOCL	THB	0.000	0.00	1100837392	00001	108.000	EA	5166.00	485336	3001123827	00001	108.000	EA	5066.00	THB	สต.009/2559	 	2016-03-14	B	5200065625	2016-07-08	108.000	EA	547128.00	THB	2700003555	2016-07-15	THB	547128.00	547128.00	0.00	0.00	0.00	0.00	0.00	Y-58	 	 	2022-10-11	HOBDEXX03
2022	10	Y-58-Z-05-MA	 	 	 	1	1-04-005-0000	D.SW.,1 POLE 22 KV. 600 A.DIST.	104005	12101050	ZBD_PMATRL	LOCL	THB	0.000	0.00	1100837392	00002	63.000	EA	5166.00	485336	3001123827	00002	63.000	EA	5066.00	THB	สต.009/2559	 	2016-03-14	B	5200065625	2016-07-08	63.000	EA	319158.00	THB	2700003555	2016-07-15	THB	319158.00	319158.00	0.00	0.00	0.00	0.00	0.00	Y-58	 	 	2022-10-11	HOBDEXX03
2022	10	Y-58-Z-05-MA	 	 	 	1	1-04-005-0000	D.SW.,1 POLE 22 KV. 600 A.DIST.	104005	12101050	ZBD_PMATRL	LOCL	THB	0.000	0.00	1100837392	00003	45.000	EA	5166.00	485336	3001123827	00003	45.000	EA	5066.00	THB	สต.009/2559	 	2016-03-14	B	5200065625	2016-07-08	45.000	EA	227970.00	THB	2700003555	2016-07-15	THB	227970.00	227970.00	0.00	0.00	0.00	0.00	0.00	Y-58	 	 	2022-10-11	HOBDEXX03
2022	10	Y-58-Z-05-MA	 	 	 	1	1-04-005-0100	D.SW.,1 POLE 33 KV. 600 A.DISTRIBUTION	104005	12101050	ZBD_PMATRL	LOCL	THB	0.000	0.00	1100837392	00004	117.000	EA	7872.00	216516	3001123859	00001	117.000	EA	7720.00	THB	สต.010/2559	พงษ์ศักดิ์ บัวสุวรรณ	2016-03-14	B	5200060885	2017-06-15	117.000	EA	903240.00	THB	2500719686	2017-06-21	THB	903240.00	903240.00	0.00	0.00	0.00	0.00	0.00	Y-58	 	 	2022-10-11	HOBDEXX03
2022	10	Y-58-Z-05-MA	 	 	 	1	1-04-007-0009	LB SW., SF6,REMOTE, 3 P 22 KV 600 A	104007	12101050	ZBD_PMATRL	LOCL	THB	0.000	0.00	1100837401	00001	1.000	EA	89282.00	202399	3001438084	00025	1.000	EA	79860.00	THB	สต.053/2561	 	2018-08-17	B	5200019758	2019-02-26	1.000	EA	79860.00	THB	2700001033	2019-03-06	THB	79860.00	79860.00	0.00	0.00	0.00	0.00	0.00	Y-58	 	 	2022-10-11	HOBDEXX03
2022	10	Y-58-Z-05-MA	 	 	 	1	1-04-007-0305	CONTROL UNIT, AUTO , FOR SF6 LB SW.	104007	12101050	ZBD_PMATRL	LOCL	THB	0.000	0.00	1100837401	00002	1.000	EA	24569.00	202399	3001438084	00026	1.000	EA	31405.00	THB	สต.053/2561	 	2018-08-17	B	5200019758	2019-02-26	1.000	EA	31405.00	THB	2700001033	2019-03-06	THB	31405.00	31405.00	0.00	0.00	0.00	0.00	0.00	Y-58	 	 	2022-10-11	HOBDEXX03
2022	10	Y-58-Z-05-MA	 	 	 	1	1-04-007-3011	VT.3P.O/D 22,000/110-220 V.RCS 500 VA.	104007	12101050	ZBD_PMATRL	LOCL	THB	0.000	0.00	1100837401	00003	1.000	EA	25597.00	202399	3001438084	00027	1.000	EA	50249.00	THB	สต.053/2561	 	2018-08-17	B	5200019758	2019-02-26	1.000	EA	50249.00	THB	2700001033	2019-03-06	THB	50249.00	50249.00	0.00	0.00	0.00	0.00	0.00	Y-58	 	 	2022-10-11	HOBDEXX03
2022	10	Y-58-Z-05-MA	 	 	 	1	1-01-005-0201	ST. BEAM, 100X100X3.2 MM. 2 M.LONG	101005	12101020	ZBD_PMATRL	LOCL	THB	0.000	0.00	1100837401	00004	1.000	EA	1182.00	202399	3001438084	00028	1.000	EA	4486.00	THB	สต.053/2561	 	2018-08-17	B	5200019758	2019-02-26	1.000	EA	4486.00	THB	2700001033	2019-03-06	THB	4486.00	4486.00	0.00	0.00	0.00	0.00	0.00	Y-58	 	 	2022-10-11	HOBDEXX03
2022	10	Y-58-Z-05-MA	 	 	 	1	1-04-007-0009	LB SW., SF6,REMOTE, 3 P 22 KV 600 A	104007	12101050	ZBD_PMATRL	LOCL	THB	0.000	0.00	1100837401	00005	9.000	EA	89282.00	202399	3001438084	00029	9.000	EA	79860.00	THB	สต.053/2561	 	2018-08-17	B	5200019758	2019-02-26	9.000	EA	718740.00	THB	2700001033	2019-03-06	THB	718740.00	718740.00	0.00	0.00	0.00	0.00	0.00	Y-58	 	 	2022-10-11	HOBDEXX03
2022	10	Y-58-Z-05-MA	 	 	 	1	1-04-007-0305	CONTROL UNIT, AUTO , FOR SF6 LB SW.	104007	12101050	ZBD_PMATRL	LOCL	THB	0.000	0.00	1100837401	00006	9.000	EA	24569.00	202399	3001438084	00030	9.000	EA	31405.00	THB	สต.053/2561	 	2018-08-17	B	5200019758	2019-02-26	9.000	EA	282645.00	THB	2700001033	2019-03-06	THB	282645.00	282645.00	0.00	0.00	0.00	0.00	0.00	Y-58	 	 	2022-10-11	HOBDEXX03
2022	10	Y-58-Z-05-MA	 	 	 	1	1-04-007-3011	VT.3P.O/D 22,000/110-220 V.RCS 500 VA.	104007	12101050	ZBD_PMATRL	LOCL	THB	0.000	0.00	1100837401	00007	9.000	EA	25597.00	202399	3001438084	00031	9.000	EA	50249.00	THB	สต.053/2561	 	2018-08-17	B	5200019758	2019-02-26	9.000	EA	452241.00	THB	2700001033	2019-03-06	THB	452241.00	452241.00	0.00	0.00	0.00	0.00	0.00	Y-58	 	 	2022-10-11	HOBDEXX03
2022	10	Y-58-Z-05-MA	 	 	 	1	1-01-005-0201	ST. BEAM, 100X100X3.2 MM. 2 M.LONG	101005	12101020	ZBD_PMATRL	LOCL	THB	0.000	0.00	1100837401	00008	9.000	EA	1182.00	202399	3001438084	00032	9.000	EA	4486.00	THB	สต.053/2561	 	2018-08-17	B	5200019758	2019-02-26	9.000	EA	40374.00	THB	2700001033	2019-03-06	THB	40374.00	40374.00	0.00	0.00	0.00	0.00	0.00	Y-58	 	 	2022-10-11	HOBDEXX03
2022	10	Y-58-Z-05-MA	 	 	 	1	1-05-000-0002	TR., 30 KVA. 1 P 3 W,22-0.46-0.23 KV.	105000	12101060	ZBD_PMATRL	LOCL	THB	0.000	0.00	1100837469	00001	72.000	EA	70459.00	217454	3001241388	00001	72.000	EA	27900.00	THB	ปก.ห.008/60	 	2017-02-14	B	5200062690	2017-06-20	72.000	EA	2008800.00	THB	2700002753	2017-06-26	THB	2008800.00	2008800.00	0.00	0.00	0.00	0.00	0.00	Y-58	 	 	2022-10-11	HOBDEXX03
2022	10	Y-58-Z-05-MA	 	 	 	1	1-05-000-0002	TR., 30 KVA. 1 P 3 W,22-0.46-0.23 KV.	105000	12101060	ZBD_PMATRL	LOCL	THB	0.000	0.00	1100837469	00002	144.000	EA	70459.00	217454	3001241388	00002	144.000	EA	27900.00	THB	ปก.ห.008/60	 	2017-02-14	B	5200062690	2017-06-20	144.000	EA	4017600.00	THB	2700002753	2017-06-26	THB	4017600.00	4017600.00	0.00	0.00	0.00	0.00	0.00	Y-58	 	 	2022-10-11	HOBDEXX03
2022	10	Y-58-Z-05-MA	 	 	 	1	1-05-000-0002	TR., 30 KVA. 1 P 3 W,22-0.46-0.23 KV.	105000	12101060	ZBD_PMATRL	LOCL	THB	0.000	0.00	1100837469	00003	404.000	EA	70459.00	217454	3001241388	00003	404.000	EA	27900.00	THB	ปก.ห.008/60	 	2017-02-14	B	5200062690	2017-06-20	284.000	EA	7923600.00	THB	2700002753	2017-06-26	THB	7923600.00	7923600.00	0.00	0.00	0.00	0.00	0.00	Y-58	 	 	2022-10-11	HOBDEXX03
